"","CEB01","CEB02","CEB03","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB30","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB01",NA,-0.0118605321690198,0.00996761850162751,-0.00585730481503735,0.00902022436573444,0.00585512887805392,0.00102198262638775,0.00415468278958805,0.00601349317197333,0.0073487362787235,0.0252617622957409,0.0118008605491099,-0.00240860661849258,0.0165690708954701,0.0728100578496036,-0.0112936988584369,0.00901838043209729,-0.000615322764286022,0.00144299972832337,0.010681471430381,0.0151108068221332,0.014085934011868,0.00978520078291624,0.0115297396691011,0.0181138545085944,-0.0410611834211127,-0.0867145692998383,-0.0923346882565913,0.000349427743587698,0.0138019058068094,-0.0748349871049525,0.0262456360671937,0.00854756121465588,0.0163682674941674,0.0172482109350324,-0.0362107547361742,-0.0712760859146952,0.0396711114526258,0.000952918997086655,0.0117940959581536,0.0322614203745202,0.0147829676683447
"CEB02",-0.0118605321690198,NA,0.0440637015866468,0.0288498698555096,0.0275835280185061,0.0299093183222812,0.0343510098010754,0.0330987666526982,0.050235258027775,0.00645190999562882,0.0469268567150342,0.0316541230331006,0.0316686819341715,0.0398641945192883,0.0986547085201794,0.0254176382672327,0.0231304839163387,0.00739903808081169,0.0117342377497381,0.0196371352902637,0.0334615131516773,0.0486611085439777,0.0472095749223687,0.0239009524561141,0.0324923487989495,0.00348524499222152,-0.0177215189873417,0.00618046971569843,0.0114707667066158,0.0167266741267391,-0.0613861386138613,0.105752411964665,0.0298613950593615,0.047945947690437,0.0293676745091312,-0.0160457268783141,0.00433436532507744,0.0782123466383529,0.0040101052734439,0.0135472500844759,0.0669099481233712,0.0083232260603336
"CEB03",0.00996761850162751,0.0440637015866468,NA,0.0342857815886177,-0.00677036446642717,0.00613694162444712,0.000347354071735657,0.0135796003008593,0.024346581108904,0.0206323986689665,0.0305532526381114,0.0330461320050058,0.0269402362113521,0.0519541693946002,0.121455323702515,0.0399118734457143,0.0306677661880563,0.0371631088359342,0.0342923667279264,0.0270626091819045,0.0391233146649041,0.0432135769999053,0.0400974763293248,0.0634084279944648,0.0353721237548052,0.00305173589918501,-0.016089108910891,-0.0024420024420024,0.0311821216374708,0.0155004016419064,-0.0662337662337662,0.100194093844922,0.0434512448776914,0.060121944873485,0.0524615534322428,0.0452365995817463,0.00965018094089268,0.0506140072321368,0.0231503623135082,0.0362545680720949,0.0694415071671771,0.0214462851317447
"CEB04",-0.00585730481503735,0.0288498698555096,0.0342857815886177,NA,0.0273625195013307,0.045917292763745,0.0260248172482814,0.00520080130612878,0.00145000843075308,0.00360404393613308,0.018613698873883,0.03013891189094,-0.0462557824200121,0.00423695671541263,0.00439238653001466,-0.0166312948289664,-0.00519009758015977,0.0366697760192957,0.026496715199786,0.00270412179176742,0.0101108752068083,0.0358570407498227,0.0218544929151315,0.0216751562002135,0.0364514007553476,-0.0276184554381393,-0.197886083382267,-0.16504854368932,0.0117864670573169,-0.00283661707901364,-0.135857461024499,-0.054367001315072,0.0168652689828662,0.0396366732840157,0.0287980191288988,-0.0760135830803041,-0.155807365439093,0.00311422943397529,-0.0195027330047619,0.00634733601495116,0.0193799102102114,0.0153039998568994
"CEB05",0.00902022436573444,0.0275835280185061,-0.00677036446642717,0.0273625195013307,NA,-0.0103315139788663,0.00889031212085841,0.0113357569490856,0.0165974285401904,0.0183091113717886,0.0253772834257716,0.0197113010157283,0.0229736123701922,0.0279563689488976,0.0875487713689227,0.0100665234980891,0.0142540859273407,0.023347772725543,0.0175838704015354,0.0145142343529973,0.0285930044006464,0.0311320291765641,0.0376206852047996,0.032707844510452,0.020935305890197,0.00940858579321363,-0.0711571353354198,-0.0428360233312391,0.0199928343663993,0.0200794532438514,-0.0438557772441388,0.105083267194736,0.015267207328117,0.0207378132915031,0.0263705589115693,-0.00392507405503164,-0.0603712848315589,0.0460770588072711,0.0373457933363575,0.0215486585766074,0.0473569314524868,0.0126407702925057
"CEB06",0.00585512887805392,0.0299093183222812,0.00613694162444712,0.045917292763745,-0.0103315139788663,NA,-0.000816234158194211,0.0194883863531094,0.0201306103526274,0.0165374156664555,0.0160953541037643,0.0235067410221376,0.0358606144705842,0.0488463010825154,0.114991209844974,0.0206046829123832,0.0306546932127225,0.0162044308749222,0.00959108845913693,0.027230307622504,0.0403431286636538,0.0403308176798359,0.0284829825604703,0.0416294602439249,0.0184499341292115,0.00735550014539004,-0.0471327944026852,-0.0525065336184367,-0.00910728161722434,0.0105121617342244,-0.0203611571770775,0.110960949509001,0.0245534302792117,0.0192039839291944,0.0261315402650102,0.0148316992829975,-0.00262538475466229,0.0656129912005176,0.0313994209534214,0.0323273217420972,0.0421950195129947,0.0213283685160522
"CEB07",0.00102198262638775,0.0343510098010754,0.000347354071735657,0.0260248172482814,0.00889031212085841,-0.000816234158194211,NA,0.0222337842387168,0.0258646475313772,0.0301020180752969,0.0357778911877754,0.0249005756477517,0.00855911635739537,0.0397884069081913,0.0830565218497958,0.0296335713461398,0.0252853772862278,0.021412947219416,0.0240709030941915,0.0243422480049887,0.0493484330513323,0.0199894717127547,0.0261478621982618,0.0406290456911722,0.0282248150272745,-0.00296524569029947,-0.0688198852439383,-0.0595655440090146,0.019284291232462,0.0270459222842198,-0.0373499405864846,0.074927762356451,0.0192535566178645,0.0344469266328704,0.03144059096281,0.0272242223153157,-0.0445510499734255,0.0589631210950104,0.0208298799278939,0.0282346324774584,0.0384334793568065,0.0298406793780368
"CEB08",0.00415468278958805,0.0330987666526982,0.0135796003008593,0.00520080130612878,0.0113357569490856,0.0194883863531094,0.0222337842387168,NA,0.00511106163492914,0.00370806278054781,0.017209150074097,0.0141863424431513,0.00489310110351527,0.0106969382002152,0.0957953838101992,0.00883083162034065,-0.00344233731440271,0.0249909301934412,0.0101848290704976,0.0200577720763639,0.0292676287938258,0.0307611568880729,0.0179068837869098,0.0341579929556209,0.0266198562853662,-0.0249953500389907,-0.119244672572614,-0.0642119574131515,0.0100531440305404,-0.00607091230365529,-0.0968219383921863,0.0656309712405387,0.0136064182782138,0.0181351644219117,0.0270124185724622,-0.0175094316938396,-0.0634212433666835,0.050936860651953,0.0201218155768548,0.016778088021904,0.040690633597875,0.0205967709903075
"CEB09",0.00601349317197333,0.050235258027775,0.024346581108904,0.00145000843075308,0.0165974285401904,0.0201306103526274,0.0258646475313772,0.00511106163492914,NA,-0.0201547684331768,0.014024765136571,0.00386023203039512,0.00602126395155984,0.000925226442463774,0.113159467549583,0.00743008083148368,0.00180806258582566,0.00575190503605871,-0.00719166574024969,-0.00253423187217381,0.015109670584999,0.00981117829193849,-0.00159660961630588,0.0322485535661166,0.0254482905772401,-0.014846990746203,-0.0518080007592654,-0.0884615148520321,-0.000932878012302937,-0.00437905991904697,-0.0613649695329989,0.084516312603163,0.00577685242818166,0.0214658067887287,0.0194602475107684,-0.0223945826901761,-0.0585264515204699,0.021603971554379,0.0258651275636217,0.00277469957290403,0.0270882753698299,0.00897521133538948
"CEB10",0.0073487362787235,0.00645190999562882,0.0206323986689665,0.00360404393613308,0.0183091113717886,0.0165374156664555,0.0301020180752969,0.00370806278054781,-0.0201547684331768,NA,0.00808366241131384,0.0142098175883713,-0.00266272917780076,0.0188632529851923,0.0642735594778224,0.0129902485259636,-0.0049317909441208,0.0115849465271266,0.00102106622585733,0.00446562638043996,0.0171533886868845,0.0206689285925047,-0.00158587005035872,0.0321098567756801,0.0191634871271446,-0.00291637699419768,-0.0614664938285521,-0.0814740378127736,-0.00718429923503707,0.00649493969783141,-0.078887520407871,0.0933989633167543,0.014219803882394,0.0253090689556934,0.0237322624996315,-0.0256317138174186,-0.0582457717592853,0.0183028876441646,-0.00516252866385343,0.00649405585109034,0.0312342897719387,0.0167899732804593
"CEB11",0.0252617622957409,0.0469268567150342,0.0305532526381114,0.018613698873883,0.0253772834257716,0.0160953541037643,0.0357778911877754,0.017209150074097,0.014024765136571,0.00808366241131384,NA,-0.00420876141398805,0.0611628141276834,0.0237474538341951,0.0909782213291847,0.013060876950949,0.0173408381730755,0.0229531947330157,0.00567472642612802,0.0119432017726148,0.0248252942548348,0.0376671711021491,0.0113924562687173,0.0453958291263397,0.0168333719960548,-0.00306700126903112,-0.0845009750236398,-0.0590360201996111,0.00642889266752682,0.00925232386215999,-0.00585558681758268,0.123328165965109,0.0127725463857765,0.00772282715468423,0.0199027984620674,-0.0116443549664367,0.0106039674242786,0.0384930275859639,0.0298472227954553,0.0200439347482995,0.0346400397960577,0.0135422356177501
"CEB12",0.0118008605491099,0.0316541230331006,0.0330461320050058,0.03013891189094,0.0197113010157283,0.0235067410221376,0.0249005756477517,0.0141863424431513,0.00386023203039512,0.0142098175883713,-0.00420876141398805,NA,0.0246428789757645,0.0147064213669369,0.121596407450745,-0.00780005817803691,0.0158825536465478,0.00800537407500491,0.0250702123361126,0.00553151741702137,0.0292336553690772,0.0203023021325136,0.0136601222755861,0.018235945432292,0.00877735111483653,0.00150224574067332,-0.0560413656756141,-0.060759977086118,0.0170378975311819,0.0120102150461473,-0.083645443196005,0.133078592265386,0.00261367146135201,0.00151831761194014,0.0110378001658654,-0.0256592745454735,-0.0334486735870819,0.0378693998789163,0.0167413862366285,0.0126726520698602,0.0325841124967455,0.00870453741722949
"CEB13",-0.00240860661849258,0.0316686819341715,0.0269402362113521,-0.0462557824200121,0.0229736123701922,0.0358606144705842,0.00855911635739537,0.00489310110351527,0.00602126395155984,-0.00266272917780076,0.0611628141276834,0.0246428789757645,NA,0.0567642997426431,-0.0618556701030928,-0.00489045384245833,0.0404457526675487,0.00867846186703266,-0.00205110230472604,-0.00194101565793353,0.0200720317078164,0.0494634241108663,0.00754033786442142,0.0335342257159651,0.0219066293485417,-0.014964571576043,-0.12568306010929,-0.157303370786517,0.00559198796014237,-0.0130772314098679,-0.190751445086705,0.0172413793103448,-0.0171946740818942,0.054269138837159,0.0332719736782422,-0.0188679245283019,-0.138121546961326,0.0489878542510122,0.00582498600730786,0.0150846443641431,0.0340243046950165,0.00683698637072095
"CEB14",0.0165690708954701,0.0398641945192883,0.0519541693946002,0.00423695671541263,0.0279563689488976,0.0488463010825154,0.0397884069081913,0.0106969382002152,0.000925226442463774,0.0188632529851923,0.0237474538341951,0.0147064213669369,0.0567642997426431,NA,0.0743186456957619,-0.0205122903992359,0.0238274291779517,0.0332773382425333,0.0160887427811174,0.0017024429353927,0.0178409277179872,0.0426232406172397,0.0181473985134552,0.0149195846432966,0.0150819488531794,0.0121881196155485,-0.0146071851559415,0.0356472795497187,0.0271672080374223,0.0290349427839295,0.0360090022505627,0.117862670033396,-0.000495338940345872,0.0130290902890759,0.00620524442352173,0.0398680757239456,0.0138142747505757,0.0470041885806771,0.0230177945695597,0.0136246588695933,0.0203732312404495,0.00939902276545831
"CEB15",0.0728100578496036,0.0986547085201794,0.121455323702515,0.00439238653001466,0.0875487713689227,0.114991209844974,0.0830565218497958,0.0957953838101992,0.113159467549583,0.0642735594778224,0.0909782213291847,0.121596407450745,-0.0618556701030928,0.0743186456957619,NA,0.069774011299435,0.0523877798610346,0.11542733990967,0.0225112556278139,0.0623094526398962,0.0631836391735562,0.0887193688280474,0.0886291437968911,0.0900106549670949,0.0663531706135374,0.0844577711144428,NA,NA,0.102088912694162,0.0640723212846698,NA,0.0483271375464684,0.0764215263589919,0.0821725568114713,0.0526027990991165,0.0276243093922652,NA,0.132211538461538,0.0848154621157603,0.0923553829797003,0.107610392494909,0.0895570240237695
"CEB16",-0.0112936988584369,0.0254176382672327,0.0399118734457143,-0.0166312948289664,0.0100665234980891,0.0206046829123832,0.0296335713461398,0.00883083162034065,0.00743008083148368,0.0129902485259636,0.013060876950949,-0.00780005817803691,-0.00489045384245833,-0.0205122903992359,0.069774011299435,NA,0.0053630915169049,0.0127285521216432,0.00545909996093721,-0.0117709478434208,0.0132991119526984,0.0131757907348311,0.0065402139655598,-0.00885000647833129,0.00666488579535052,-0.00564254592417136,-0.0794263601183701,-0.0627341999103541,0.0130986663686223,0.0138663329078848,-0.0495152937010314,0.0866423877916968,0.000283221721840038,0.00842205414913472,0.0160172717290019,-0.00311584099036996,-0.041997011514459,0.0472061872614207,-0.00445252486104998,-0.00635045989695463,0.00783068049087165,-0.00903202396064193
"CEB18",0.00901838043209729,0.0231304839163387,0.0306677661880563,-0.00519009758015977,0.0142540859273407,0.0306546932127225,0.0252853772862278,-0.00344233731440271,0.00180806258582566,-0.0049317909441208,0.0173408381730755,0.0158825536465478,0.0404457526675487,0.0238274291779517,0.0523877798610346,0.0053630915169049,NA,0.0241433548278811,0.0021095240244725,-0.0105621052930107,0.0101096171778538,0.0131389498520414,0.0114125718290659,0.0261725978495599,0.00513456086684933,-0.0114917606244579,-0.11208904996117,-0.0538452103520176,0.0293800751279271,-0.014916594000372,-0.0722575814301758,0.105917129684353,0.0116507477550508,0.0366748348090886,0.0332611092838147,-0.0206631531029104,-0.102103642893792,-0.00517404851979653,-0.00660832184756895,-0.00202123600688289,0.0175548642438048,-0.00229751448347646
"CEB19",-0.000615322764286022,0.00739903808081169,0.0371631088359342,0.0366697760192957,0.023347772725543,0.0162044308749222,0.021412947219416,0.0249909301934412,0.00575190503605871,0.0115849465271266,0.0229531947330157,0.00800537407500491,0.00867846186703266,0.0332773382425333,0.11542733990967,0.0127285521216432,0.0241433548278811,NA,0.0124806143566387,0.0147710547933706,0.0284112641464328,0.0219175466973406,0.021736039635621,0.0258061277614269,0.0136923323857539,0.00520066917652462,-0.0391323373132462,-0.0837346893870865,-0.00731048101845857,0.00845695902497655,-0.0363547097468029,0.108073071822746,0.0217334487728185,0.0161407797753185,0.0269339771174187,-0.0045486030682085,-0.0137520963561519,0.0409246508329808,0.0134681931235028,0.0159351895873379,0.0236104775769876,0.00721670876142044
"CEB20",0.00144299972832337,0.0117342377497381,0.0342923667279264,0.026496715199786,0.0175838704015354,0.00959108845913693,0.0240709030941915,0.0101848290704976,-0.00719166574024969,0.00102106622585733,0.00567472642612802,0.0250702123361126,-0.00205110230472604,0.0160887427811174,0.0225112556278139,0.00545909996093721,0.0021095240244725,0.0124806143566387,NA,0.00325933750751842,0.00628230357776727,0.0227457686646141,0.00249703220243799,0.0277478198038852,0.0160428534693745,-0.00776513804400598,-0.054359367112844,-0.0733410117834677,0.0134156898993359,-0.0196626203589239,-0.0591526638806806,0.059790843758179,0.0129886131897113,0.0207798300145809,0.022959018901557,-0.0128722357903039,-0.0371727479752753,0.059059653979474,0.0182567477330926,0.0118137481139801,0.0293097823102966,0.00524188669749852
"CEB22",0.010681471430381,0.0196371352902637,0.0270626091819045,0.00270412179176742,0.0145142343529973,0.027230307622504,0.0243422480049887,0.0200577720763639,-0.00253423187217381,0.00446562638043996,0.0119432017726148,0.00553151741702137,-0.00194101565793353,0.0017024429353927,0.0623094526398962,-0.0117709478434208,-0.0105621052930107,0.0147710547933706,0.00325933750751842,NA,-0.000213989727611179,0.0115916101966363,-0.00550010229542425,0.00768312989635233,0.0073205517873406,0.00659224509429971,-0.106289794913287,-0.0904283906312304,0.00169144371971663,-0.000120393002665524,-0.0447833092473547,0.0594036292139188,-0.0134112139573026,0.0156759008939373,0.00401386709944409,-0.0198503230287188,-0.0862758305052546,0.00665592917064633,-0.000433815043729125,6.67041481782905e-05,-0.00274723880689797,-0.000606614751955322
