"","CEB01","CEB02","CEB03","CEB04","CEB05","CEB06","CEB07","CEB08","CEB09","CEB10","CEB11","CEB12","CEB13","CEB14","CEB15","CEB16","CEB18","CEB19","CEB20","CEB22","CEB23","CEB24","CEB25","CEB26","CEB27","CEB29","CEB30","CEB32","CEB33","CEB35","LEY01","LEY02","LEY04","LEY05","LEY06","LEY07","LEY09","LEY10","LEY11","LEY13","LEY14","LEY15"
"CEB23",0.0151108068221332,0.0334615131516773,0.0391233146649041,0.0101108752068083,0.0285930044006464,0.0403431286636538,0.0493484330513323,0.0292676287938258,0.015109670584999,0.0171533886868845,0.0248252942548348,0.0292336553690772,0.0200720317078164,0.0178409277179872,0.0631836391735562,0.0132991119526984,0.0101096171778538,0.0284112641464328,0.00628230357776727,-0.000213989727611179,NA,0.0340993119925272,0.0138690935370562,0.0209876308823655,0.00945745159310678,-0.00669416697693434,-0.10752201793364,-0.0721111330522954,0.0245160249253502,0.00859906768975647,-0.0548581662133167,0.086288639681039,0.0183233926498886,0.0393913110477528,0.0295768657977383,-0.0290602548550298,-0.03760822960464,0.022712362497652,0.0110455329892495,0.00648018526630267,0.0368845450389313,0.00813831352539055
"CEB24",0.014085934011868,0.0486611085439777,0.0432135769999053,0.0358570407498227,0.0311320291765641,0.0403308176798359,0.0199894717127547,0.0307611568880729,0.00981117829193849,0.0206689285925047,0.0376671711021491,0.0203023021325136,0.0494634241108663,0.0426232406172397,0.0887193688280474,0.0131757907348311,0.0131389498520414,0.0219175466973406,0.0227457686646141,0.0115916101966363,0.0340993119925272,NA,0.00840988326028044,0.0227885490950871,0.00678913540921478,0.0176592348650844,-0.0258325589055276,-0.02775486152033,0.0296714287601252,0.0161781478729763,-0.0763358543080279,0.093303750458787,0.0187713295679416,0.0262604979754068,0.0233008549251424,0.0328827867309694,-0.0689638264749506,0.0282740162047681,0.00988194787825152,-0.000223077592812807,0.00511502473922123,-0.000715990370274793
"CEB25",0.00978520078291624,0.0472095749223687,0.0400974763293248,0.0218544929151315,0.0376206852047996,0.0284829825604703,0.0261478621982618,0.0179068837869098,-0.00159660961630588,-0.00158587005035872,0.0113924562687173,0.0136601222755861,0.00754033786442142,0.0181473985134552,0.0886291437968911,0.0065402139655598,0.0114125718290659,0.021736039635621,0.00249703220243799,-0.00550010229542425,0.0138690935370562,0.00840988326028044,NA,0.0197583841676107,0.00119316237505799,-0.00305308041727,-0.082827654110779,-0.0573362373950726,0.00559120552775884,0.00205022532555557,-0.0408535507201769,0.0859397845531206,-0.000941303317962947,0.0104232704360529,0.00916809758381665,0.0216886183073203,-0.0523354837752823,0.033884252349399,0.0120283352128045,0.00439727524235458,0.0145533769214607,0.014587581975254
"CEB26",0.0115297396691011,0.0239009524561141,0.0634084279944648,0.0216751562002135,0.032707844510452,0.0416294602439249,0.0406290456911722,0.0341579929556209,0.0322485535661166,0.0321098567756801,0.0453958291263397,0.018235945432292,0.0335342257159651,0.0149195846432966,0.0900106549670949,-0.00885000647833129,0.0261725978495599,0.0258061277614269,0.0277478198038852,0.00768312989635233,0.0209876308823655,0.0227885490950871,0.0197583841676107,NA,0.00742531635024452,0.0164516271889367,-0.0598186781902857,-0.0602520848851305,0.0276190141984013,0.0305324489574155,-0.0123612428180956,0.0800263153379412,0.0177667390263163,0.0247481077151611,0.0279750085920453,0.0165320770678056,-0.0513156941970427,0.0290379834080343,-0.0113984676754967,-0.000674606097377004,0.019651954226699,-0.00877248757078493
"CEB27",0.0181138545085944,0.0324923487989495,0.0353721237548052,0.0364514007553476,0.020935305890197,0.0184499341292115,0.0282248150272745,0.0266198562853662,0.0254482905772401,0.0191634871271446,0.0168333719960548,0.00877735111483653,0.0219066293485417,0.0150819488531794,0.0663531706135374,0.00666488579535052,0.00513456086684933,0.0136923323857539,0.0160428534693745,0.0073205517873406,0.00945745159310678,0.00678913540921478,0.00119316237505799,0.00742531635024452,NA,0.00439973719258061,-0.0704659051214415,-0.0104517245406546,0.0185739528948291,0.0102065647551682,-0.0548285921856386,0.110237050263433,0.00756267197069184,0.0114202894518084,0.0126932953728274,-0.00241776832215989,-0.0778486026214506,0.0153040373855052,0.00502950154593495,0.00167889467562339,0.00352184253626389,-0.00629137536001949
"CEB29",-0.0410611834211127,0.00348524499222152,0.00305173589918501,-0.0276184554381393,0.00940858579321363,0.00735550014539004,-0.00296524569029947,-0.0249953500389907,-0.014846990746203,-0.00291637699419768,-0.00306700126903112,0.00150224574067332,-0.014964571576043,0.0121881196155485,0.0844577711144428,-0.00564254592417136,-0.0114917606244579,0.00520066917652462,-0.00776513804400598,0.00659224509429971,-0.00669416697693434,0.0176592348650844,-0.00305308041727,0.0164516271889367,0.00439973719258061,NA,-0.20844327176781,-0.101623571858088,0.00320552483818631,-0.0143518408960756,-0.131562693020383,-0.00175565732557356,0.0149184028598447,0.0209490833909374,0.00207022537431515,-0.0572534408274045,-0.0937313432835821,0.0181871373543323,-0.00703467871950069,0.00946371402100191,0.0389899324737904,0.018971922544539
"CEB30",-0.0867145692998383,-0.0177215189873417,-0.016089108910891,-0.197886083382267,-0.0711571353354198,-0.0471327944026852,-0.0688198852439383,-0.119244672572614,-0.0518080007592654,-0.0614664938285521,-0.0845009750236398,-0.0560413656756141,-0.12568306010929,-0.0146071851559415,NA,-0.0794263601183701,-0.11208904996117,-0.0391323373132462,-0.054359367112844,-0.106289794913287,-0.10752201793364,-0.0258325589055276,-0.082827654110779,-0.0598186781902857,-0.0704659051214415,-0.20844327176781,NA,NA,-0.107411811335711,-0.0987306064880113,NA,-0.0448979591836735,-0.0677327809177124,-0.05542640303575,-0.0645343397105071,-0.142857142857143,NA,0.021680216802168,-0.11904462602137,-0.0507321346692646,-0.0225925923933017,-0.0818256961148312
"CEB32",-0.0923346882565913,0.00618046971569843,-0.0024420024420024,-0.16504854368932,-0.0428360233312391,-0.0525065336184367,-0.0595655440090146,-0.0642119574131515,-0.0884615148520321,-0.0814740378127736,-0.0590360201996111,-0.060759977086118,-0.157303370786517,0.0356472795497187,NA,-0.0627341999103541,-0.0538452103520176,-0.0837346893870865,-0.0733410117834677,-0.0904283906312304,-0.0721111330522954,-0.02775486152033,-0.0573362373950726,-0.0602520848851305,-0.0104517245406546,-0.101623571858088,NA,NA,-0.124949671185076,-0.112643918412848,NA,-0.0711297071129707,-0.0509638220509284,-0.0555107258418887,-0.04952599755929,-0.0666666666666667,NA,0.0373333333333333,-0.103781773093614,-0.0419090117562452,-0.00201253709906777,-0.0589503823169223
"CEB33",0.000349427743587698,0.0114707667066158,0.0311821216374708,0.0117864670573169,0.0199928343663993,-0.00910728161722434,0.019284291232462,0.0100531440305404,-0.000932878012302937,-0.00718429923503707,0.00642889266752682,0.0170378975311819,0.00559198796014237,0.0271672080374223,0.102088912694162,0.0130986663686223,0.0293800751279271,-0.00731048101845857,0.0134156898993359,0.00169144371971663,0.0245160249253502,0.0296714287601252,0.00559120552775884,0.0276190141984013,0.0185739528948291,0.00320552483818631,-0.107411811335711,-0.124949671185076,NA,-0.00629582045699037,-0.0836457659987071,0.0874212054527212,0.0153881480703992,0.0123450880463001,0.0222670525675563,-0.0366425109634506,-0.0638405889072217,0.0399222173962296,0.00390109454899447,0.0103651461174009,0.0280047882027135,0.00369140562707481
"CEB35",0.0138019058068094,0.0167266741267391,0.0155004016419064,-0.00283661707901364,0.0200794532438514,0.0105121617342244,0.0270459222842198,-0.00607091230365529,-0.00437905991904697,0.00649493969783141,0.00925232386215999,0.0120102150461473,-0.0130772314098679,0.0290349427839295,0.0640723212846698,0.0138663329078848,-0.014916594000372,0.00845695902497655,-0.0196626203589239,-0.000120393002665524,0.00859906768975647,0.0161781478729763,0.00205022532555557,0.0305324489574155,0.0102065647551682,-0.0143518408960756,-0.0987306064880113,-0.112643918412848,-0.00629582045699037,NA,-0.13203668424084,0.0880084733980313,0.0117303015732842,0.0182666031494415,0.0156894296772338,-0.0377620919611269,-0.0667401451199452,0.0506453204574315,0.0308886267575781,0.0136425951150957,0.0407003922272764,0.0120764948057432
"LEY01",-0.0748349871049525,-0.0613861386138613,-0.0662337662337662,-0.135857461024499,-0.0438557772441388,-0.0203611571770775,-0.0373499405864846,-0.0968219383921863,-0.0613649695329989,-0.078887520407871,-0.00585558681758268,-0.083645443196005,-0.190751445086705,0.0360090022505627,NA,-0.0495152937010314,-0.0722575814301758,-0.0363547097468029,-0.0591526638806806,-0.0447833092473547,-0.0548581662133167,-0.0763358543080279,-0.0408535507201769,-0.0123612428180956,-0.0548285921856386,-0.131562693020383,NA,NA,-0.0836457659987071,-0.13203668424084,NA,-0.0364372469635627,-0.0139668695506324,-0.0396213349281544,-0.0569378066800104,-0.197278911564626,NA,0.0598958333333333,-0.0454492072812683,-0.0471007621151147,-0.00466323078736758,-0.0622341139966615
"LEY02",0.0262456360671937,0.105752411964665,0.100194093844922,-0.054367001315072,0.105083267194736,0.110960949509001,0.074927762356451,0.0656309712405387,0.084516312603163,0.0933989633167543,0.123328165965109,0.133078592265386,0.0172413793103448,0.117862670033396,0.0483271375464684,0.0866423877916968,0.105917129684353,0.108073071822746,0.059790843758179,0.0594036292139188,0.086288639681039,0.093303750458787,0.0859397845531206,0.0800263153379412,0.110237050263433,-0.00175565732557356,-0.0448979591836735,-0.0711297071129707,0.0874212054527212,0.0880084733980313,-0.0364372469635627,NA,0.0808345116645344,0.116009624432084,0.0748183090304534,-0.0159857904085258,-0.190697674418605,0.15702479338843,0.075647034311707,0.0948816691895529,0.104972379433057,0.0740531566492837
"LEY04",0.00854756121465588,0.0298613950593615,0.0434512448776914,0.0168652689828662,0.015267207328117,0.0245534302792117,0.0192535566178645,0.0136064182782138,0.00577685242818166,0.014219803882394,0.0127725463857765,0.00261367146135201,-0.0171946740818942,-0.000495338940345872,0.0764215263589919,0.000283221721840038,0.0116507477550508,0.0217334487728185,0.0129886131897113,-0.0134112139573026,0.0183233926498886,0.0187713295679416,-0.000941303317962947,0.0177667390263163,0.00756267197069184,0.0149184028598447,-0.0677327809177124,-0.0509638220509284,0.0153881480703992,0.0117303015732842,-0.0139668695506324,0.0808345116645344,NA,0.0101757413947927,0.0156792076072205,-0.0186539998582139,-0.0423212699303315,0.0127108080312732,0.0156847133298232,-0.0005327082411494,0.0102674068853303,0.00162178663912332
"LEY05",0.0163682674941674,0.047945947690437,0.060121944873485,0.0396366732840157,0.0207378132915031,0.0192039839291944,0.0344469266328704,0.0181351644219117,0.0214658067887287,0.0253090689556934,0.00772282715468423,0.00151831761194014,0.054269138837159,0.0130290902890759,0.0821725568114713,0.00842205414913472,0.0366748348090886,0.0161407797753185,0.0207798300145809,0.0156759008939373,0.0393913110477528,0.0262604979754068,0.0104232704360529,0.0247481077151611,0.0114202894518084,0.0209490833909374,-0.05542640303575,-0.0555107258418887,0.0123450880463001,0.0182666031494415,-0.0396213349281544,0.116009624432084,0.0101757413947927,NA,0.00115832742582368,-0.00890543451558611,8.32551239744262e-05,0.0618991784701069,0.0307070936128912,0.0166770933537927,0.0319929175486421,0.0116302848167839
"LEY06",0.0172482109350324,0.0293676745091312,0.0524615534322428,0.0287980191288988,0.0263705589115693,0.0261315402650102,0.03144059096281,0.0270124185724622,0.0194602475107684,0.0237322624996315,0.0199027984620674,0.0110378001658654,0.0332719736782422,0.00620524442352173,0.0526027990991165,0.0160172717290019,0.0332611092838147,0.0269339771174187,0.022959018901557,0.00401386709944409,0.0295768657977383,0.0233008549251424,0.00916809758381665,0.0279750085920453,0.0126932953728274,0.00207022537431515,-0.0645343397105071,-0.04952599755929,0.0222670525675563,0.0156894296772338,-0.0569378066800104,0.0748183090304534,0.0156792076072205,0.00115832742582368,NA,-0.0487917080635591,-0.0268533429308036,0.0457095157002388,0.0296962466305056,0.00720357583908541,0.0381733252905374,0.0111276604160813
"LEY07",-0.0362107547361742,-0.0160457268783141,0.0452365995817463,-0.0760135830803041,-0.00392507405503164,0.0148316992829975,0.0272242223153157,-0.0175094316938396,-0.0223945826901761,-0.0256317138174186,-0.0116443549664367,-0.0256592745454735,-0.0188679245283019,0.0398680757239456,0.0276243093922652,-0.00311584099036996,-0.0206631531029104,-0.0045486030682085,-0.0128722357903039,-0.0198503230287188,-0.0290602548550298,0.0328827867309694,0.0216886183073203,0.0165320770678056,-0.00241776832215989,-0.0572534408274045,-0.142857142857143,-0.0666666666666667,-0.0366425109634506,-0.0377620919611269,-0.197278911564626,-0.0159857904085258,-0.0186539998582139,-0.00890543451558611,-0.0487917080635591,NA,-0.0352941176470588,0.05710677704504,-0.00754943947018774,-0.0147926035820717,0.0388692755263041,-0.02077417278097
"LEY09",-0.0712760859146952,0.00433436532507744,0.00965018094089268,-0.155807365439093,-0.0603712848315589,-0.00262538475466229,-0.0445510499734255,-0.0634212433666835,-0.0585264515204699,-0.0582457717592853,0.0106039674242786,-0.0334486735870819,-0.138121546961326,0.0138142747505757,NA,-0.041997011514459,-0.102103642893792,-0.0137520963561519,-0.0371727479752753,-0.0862758305052546,-0.03760822960464,-0.0689638264749506,-0.0523354837752823,-0.0513156941970427,-0.0778486026214506,-0.0937313432835821,NA,NA,-0.0638405889072217,-0.0667401451199452,NA,-0.190697674418605,-0.0423212699303315,8.32551239744262e-05,-0.0268533429308036,-0.0352941176470588,NA,-0.0524781341107872,-0.133002418225786,-0.0559074834892148,-0.109496022768737,-0.0857565502113483
"LEY10",0.0396711114526258,0.0782123466383529,0.0506140072321368,0.00311422943397529,0.0460770588072711,0.0656129912005176,0.0589631210950104,0.050936860651953,0.021603971554379,0.0183028876441646,0.0384930275859639,0.0378693998789163,0.0489878542510122,0.0470041885806771,0.132211538461538,0.0472061872614207,-0.00517404851979653,0.0409246508329808,0.059059653979474,0.00665592917064633,0.022712362497652,0.0282740162047681,0.033884252349399,0.0290379834080343,0.0153040373855052,0.0181871373543323,0.021680216802168,0.0373333333333333,0.0399222173962296,0.0506453204574315,0.0598958333333333,0.15702479338843,0.0127108080312732,0.0618991784701069,0.0457095157002388,0.05710677704504,-0.0524781341107872,NA,-0.020185495630376,0.000875427150130201,-0.00555270960037016,-0.00648376354218119
"LEY11",0.000952918997086655,0.0040101052734439,0.0231503623135082,-0.0195027330047619,0.0373457933363575,0.0313994209534214,0.0208298799278939,0.0201218155768548,0.0258651275636217,-0.00516252866385343,0.0298472227954553,0.0167413862366285,0.00582498600730786,0.0230177945695597,0.0848154621157603,-0.00445252486104998,-0.00660832184756895,0.0134681931235028,0.0182567477330926,-0.000433815043729125,0.0110455329892495,0.00988194787825152,0.0120283352128045,-0.0113984676754967,0.00502950154593495,-0.00703467871950069,-0.11904462602137,-0.103781773093614,0.00390109454899447,0.0308886267575781,-0.0454492072812683,0.075647034311707,0.0156847133298232,0.0307070936128912,0.0296962466305056,-0.00754943947018774,-0.133002418225786,-0.020185495630376,NA,0.00313704911468405,0.00152514163810053,-0.00428399641778287
"LEY13",0.0117940959581536,0.0135472500844759,0.0362545680720949,0.00634733601495116,0.0215486585766074,0.0323273217420972,0.0282346324774584,0.016778088021904,0.00277469957290403,0.00649405585109034,0.0200439347482995,0.0126726520698602,0.0150846443641431,0.0136246588695933,0.0923553829797003,-0.00635045989695463,-0.00202123600688289,0.0159351895873379,0.0118137481139801,6.67041481782905e-05,0.00648018526630267,-0.000223077592812807,0.00439727524235458,-0.000674606097377004,0.00167889467562339,0.00946371402100191,-0.0507321346692646,-0.0419090117562452,0.0103651461174009,0.0136425951150957,-0.0471007621151147,0.0948816691895529,-0.0005327082411494,0.0166770933537927,0.00720357583908541,-0.0147926035820717,-0.0559074834892148,0.000875427150130201,0.00313704911468405,NA,-0.000772445965963347,-0.0111522224207239
"LEY14",0.0322614203745202,0.0669099481233712,0.0694415071671771,0.0193799102102114,0.0473569314524868,0.0421950195129947,0.0384334793568065,0.040690633597875,0.0270882753698299,0.0312342897719387,0.0346400397960577,0.0325841124967455,0.0340243046950165,0.0203732312404495,0.107610392494909,0.00783068049087165,0.0175548642438048,0.0236104775769876,0.0293097823102966,-0.00274723880689797,0.0368845450389313,0.00511502473922123,0.0145533769214607,0.019651954226699,0.00352184253626389,0.0389899324737904,-0.0225925923933017,-0.00201253709906777,0.0280047882027135,0.0407003922272764,-0.00466323078736758,0.104972379433057,0.0102674068853303,0.0319929175486421,0.0381733252905374,0.0388692755263041,-0.109496022768737,-0.00555270960037016,0.00152514163810053,-0.000772445965963347,NA,-0.0057398139439327
"LEY15",0.0147829676683447,0.0083232260603336,0.0214462851317447,0.0153039998568994,0.0126407702925057,0.0213283685160522,0.0298406793780368,0.0205967709903075,0.00897521133538948,0.0167899732804593,0.0135422356177501,0.00870453741722949,0.00683698637072095,0.00939902276545831,0.0895570240237695,-0.00903202396064193,-0.00229751448347646,0.00721670876142044,0.00524188669749852,-0.000606614751955322,0.00813831352539055,-0.000715990370274793,0.014587581975254,-0.00877248757078493,-0.00629137536001949,0.018971922544539,-0.0818256961148312,-0.0589503823169223,0.00369140562707481,0.0120764948057432,-0.0622341139966615,0.0740531566492837,0.00162178663912332,0.0116302848167839,0.0111276604160813,-0.02077417278097,-0.0857565502113483,-0.00648376354218119,-0.00428399641778287,-0.0111522224207239,-0.0057398139439327,NA
