"","CEB01","CEB03","CEB04","CEB06","CEB07","CEB08","CEB13","CEB14","CEB16","CEB18","CEB19","CEB20","CEB22","CEB23","CEB26","CEB27","CEB29","LEY05","LEY06","LEY11","LEY13","LEY15"
"CEB01",NA,0.17917594902045,0.350649350649351,0.0947325438954676,0.203252032520325,0.21259842519685,0.206349206349206,0.185314685314685,0.090976033895809,0.354838709677419,0.107305325127107,0.122755163969502,0.156093408192075,0.0628972457627119,0.193548387096774,0.298245614035088,0.307958477508651,0.315068493150685,0.31740614334471,0.288256227758007,0.256505576208178,0.144347826086957
"CEB03",0.17917594902045,NA,0.0717919728660261,0.0165123058654864,-0.0157390607198616,0.0295508274231679,0.0923161967938088,0.0184143076603357,0.0416769374202711,0.133966244725738,0.0320623695449927,0.0596072689360691,0.0537692247155212,0.0900613518834337,0.0431235431235432,0.0831937465103295,0.0167664670658683,0.0590257879656161,0.037514654161782,0.205611998064828,-0.0366161616161616,0.0576799149048503
"CEB04",0.350649350649351,0.0717919728660261,NA,0.142857142857143,0.0452961672473868,NA,NA,-0.0549450549450549,0.0253598355037698,NA,0.0979955456570156,0.0768898020979778,0.0190735694822889,-0.00567536889897842,NA,NA,NA,NA,NA,NA,NA,-0.0582959641255605
"CEB06",0.0947325438954676,0.0165123058654864,0.142857142857143,NA,0.0798319327731093,0.00746268656716419,0.158227848101266,0.0624764299182904,0.00264641972385922,0.137297297297297,0.0445910290237467,0.0125180082029303,0.0252240668607949,0.0518536765611528,0.037394451145959,0.135427952329361,0.123076923076923,0.0420168067226891,0.0753186558516802,0.179856115107914,-0.0513833992094862,0.0128474042999476
"CEB07",0.203252032520325,-0.0157390607198616,0.0452961672473868,0.0798319327731093,NA,0.0072463768115942,0.0283687943262411,-0.028169014084507,0.0237223309018333,0.0616438356164384,-0.0120384147166238,0.0435312112937144,0.00764134979473834,0.0599626691553897,-0.0916334661354582,0.0385964912280702,-0.0873015873015873,-0.078740157480315,-0.136929460580913,0.127388535031847,-0.146443514644351,0.101538461538462
"CEB08",0.21259842519685,0.0295508274231679,NA,0.00746268656716419,0.0072463768115942,NA,NA,-0.0491803278688525,0.0379975194497689,NA,0.103982300884956,0.0303305691241623,0.033816425120773,0.0242290748898679,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667
"CEB13",0.206349206349206,0.0923161967938088,NA,0.158227848101266,0.0283687943262411,NA,NA,0.00518134715025907,0.0363677433928169,NA,0.0929451287793953,0.073080681941579,0.0516332982086407,0.0837642192347467,NA,NA,NA,NA,NA,NA,NA,0.0483870967741935
"CEB14",0.185314685314685,0.0184143076603357,-0.0549450549450549,0.0624764299182904,-0.028169014084507,-0.0491803278688525,0.00518134715025907,NA,-0.0620566514119365,0.106976744186047,0.0341902649093045,0.00153689684776594,-0.0415438590785467,0.019845644983462,-0.129411764705882,0.0103092783505155,0.0679611650485437,-0.032258064516129,0.00518134715025907,0.119266055045872,-0.103448275862069,-0.0423076923076923
"CEB16",0.090976033895809,0.0416769374202711,0.0253598355037698,0.00264641972385922,0.0237223309018333,0.0379975194497689,0.0363677433928169,-0.0620566514119365,NA,0.0442477876106196,-0.00516002476662866,-0.0142435735514763,0.000893374458693934,0.0265209289546267,-0.0679684566278632,0.0610762627930011,0.0237986270022884,-0.028943560057887,-0.0222861250898633,0.0947480106100797,-0.0854961832061067,-0.0135644001550752
"CEB18",0.354838709677419,0.133966244725738,NA,0.137297297297297,0.0616438356164384,NA,NA,0.106976744186047,0.0442477876106196,NA,0.0805902383654938,0.00905502670071985,0.00717043574186433,0.0644139387539599,NA,NA,NA,NA,NA,NA,NA,0.0445344129554656
"CEB19",0.107305325127107,0.0320623695449927,0.0979955456570156,0.0445910290237467,-0.0120384147166238,0.103982300884956,0.0929451287793953,0.0341902649093045,-0.00516002476662866,0.0805902383654938,NA,-0.00207431533540123,0.057335998892628,0.0378527185134205,0.0181818181818182,0.0753424657534247,-0.0137672090112641,0.0470588235294118,-0.0279187817258883,0.198019801980198,-0.0700132100396301,0.0220983734041864
"CEB20",0.122755163969502,0.0596072689360691,0.0768898020979778,0.0125180082029303,0.0435312112937144,0.0303305691241623,0.073080681941579,0.00153689684776594,-0.0142435735514763,0.00905502670071985,-0.00207431533540123,NA,0.0207454299896112,0.00491420264844943,-0.0632785251619331,0.0403597526700394,0.0285649254580632,0.000936329588015096,-0.0212969609954533,0.158351409978308,-0.107564551706241,0.0426381389388232
"CEB22",0.156093408192075,0.0537692247155212,0.0190735694822889,0.0252240668607949,0.00764134979473834,0.033816425120773,0.0516332982086407,-0.0415438590785467,0.000893374458693934,0.00717043574186433,0.057335998892628,0.0207454299896112,NA,-0.0158299940418472,-0.092896174863388,0.0726429675425039,0.0471148755955532,-0.0495626822157434,-0.0632014176018901,0.0959316926167755,-0.226158038147139,0.039768047181312
"CEB23",0.0628972457627119,0.0900613518834337,-0.00567536889897842,0.0518536765611528,0.0599626691553897,0.0242290748898679,0.0837642192347467,0.019845644983462,0.0265209289546267,0.0644139387539599,0.0378527185134205,0.00491420264844943,-0.0158299940418472,NA,-0.0125714285714286,0.0554371002132196,0.0231532524807056,-0.0290360046457607,-0.0290360046457607,0.123639960435213,-0.192462987886945,0.0178441369264385
"CEB26",0.193548387096774,0.0431235431235432,NA,0.037394451145959,-0.0916334661354582,NA,NA,-0.129411764705882,-0.0679684566278632,NA,0.0181818181818182,-0.0632785251619331,-0.092896174863388,-0.0125714285714286,NA,NA,NA,NA,NA,NA,NA,-0.140096618357488
"CEB27",0.298245614035088,0.0831937465103295,NA,0.135427952329361,0.0385964912280702,NA,NA,0.0103092783505155,0.0610762627930011,NA,0.0753424657534247,0.0403597526700394,0.0726429675425039,0.0554371002132196,NA,NA,NA,NA,NA,NA,NA,0.0745098039215686
"CEB29",0.307958477508651,0.0167664670658683,NA,0.123076923076923,-0.0873015873015873,NA,NA,0.0679611650485437,0.0237986270022884,NA,-0.0137672090112641,0.0285649254580632,0.0471148755955532,0.0231532524807056,NA,NA,NA,NA,NA,NA,NA,-0.00425531914893617
"LEY05",0.315068493150685,0.0590257879656161,NA,0.0420168067226891,-0.078740157480315,NA,NA,-0.032258064516129,-0.028943560057887,NA,0.0470588235294118,0.000936329588015096,-0.0495626822157434,-0.0290360046457607,NA,NA,NA,NA,NA,NA,NA,-0.0488888888888889
"LEY06",0.31740614334471,0.037514654161782,NA,0.0753186558516802,-0.136929460580913,NA,NA,0.00518134715025907,-0.0222861250898633,NA,-0.0279187817258883,-0.0212969609954533,-0.0632014176018901,-0.0290360046457607,NA,NA,NA,NA,NA,NA,NA,-0.0727272727272727
"LEY11",0.288256227758007,0.205611998064828,NA,0.179856115107914,0.127388535031847,NA,NA,0.119266055045872,0.0947480106100797,NA,0.198019801980198,0.158351409978308,0.0959316926167755,0.123639960435213,NA,NA,NA,NA,NA,NA,NA,-0.0875576036866359
"LEY13",0.256505576208178,-0.0366161616161616,NA,-0.0513833992094862,-0.146443514644351,NA,NA,-0.103448275862069,-0.0854961832061067,NA,-0.0700132100396301,-0.107564551706241,-0.226158038147139,-0.192462987886945,NA,NA,NA,NA,NA,NA,NA,-0.140096618357488
"LEY15",0.144347826086957,0.0576799149048503,-0.0582959641255605,0.0128474042999476,0.101538461538462,0.0166666666666667,0.0483870967741935,-0.0423076923076923,-0.0135644001550752,0.0445344129554656,0.0220983734041864,0.0426381389388232,0.039768047181312,0.0178441369264385,-0.140096618357488,0.0745098039215686,-0.00425531914893617,-0.0488888888888889,-0.0727272727272727,-0.0875576036866359,-0.140096618357488,NA
